file,dorm_group,source_name,source_page,direct_image_url,notes
nopparat_9_buildings/01_nopparat_internal_road_assetkku.jpg,Nopparat Dormitory (9 buildings),Official Asset KKU,https://asset.kku.ac.th/page/kku-dorm/,https://asset.kku.ac.th/wp-content/uploads/2022/05/2022-05-19_02-25-46_633969-scaled.jpg,Exterior / internal road
nopparat_9_buildings/02_nopparat_office_front_assetkku.jpeg,Nopparat Dormitory (9 buildings),Official Asset KKU,https://asset.kku.ac.th/page/kku-dorm/,https://asset.kku.ac.th/wp-content/uploads/2022/05/2022-05-19_02-24-01_141538.jpeg,Office/front building
nopparat_9_buildings/03_nopparat_gate_dormkku.jpg,Nopparat Dormitory (9 buildings),Official KKU Dormitory Services,https://dorm.kku.ac.th/numparit-9/,https://dorm.kku.ac.th/wp-content/uploads/2020/10/2-e1603958979893-800x598.jpg,Gate/exterior
nopparat_9_buildings/04_nopparat_building_side_dormkku.jpg,Nopparat Dormitory (9 buildings),Official KKU Dormitory Services,https://dorm.kku.ac.th/numparit-9/,https://dorm.kku.ac.th/wp-content/uploads/2020/10/1-300x225.jpg,Building side view
nopparat_9_buildings/05_nopparat_motorcycle_parking_dormkku.jpg,Nopparat Dormitory (9 buildings),Official KKU Dormitory Services,https://dorm.kku.ac.th/numparit-9/,https://dorm.kku.ac.th/wp-content/uploads/2020/10/4-300x225.jpg,Motorcycle parking
nopparat_9_buildings/06_nopparat_canteen_dormkku.jpg,Nopparat Dormitory (9 buildings),Official KKU Dormitory Services,https://dorm.kku.ac.th/numparit-9/,https://dorm.kku.ac.th/wp-content/uploads/2020/10/3-300x225.jpg,Canteen
nopparat_9_buildings/07_nopparat_building_studyinkku.webp,Nopparat Dormitory (9 buildings),Study in KKU blog,https://studyinkku.wordpress.com/2018/04/28/accommodation/,https://studyinkku.wordpress.com/wp-content/uploads/2018/04/10393174_766228706746738_6326345829984585110_n.jpg?w=300,Building exterior
nopparat_9_buildings/08_nopparat_room_studyinkku.webp,Nopparat Dormitory (9 buildings),Study in KKU blog,https://studyinkku.wordpress.com/2018/04/28/accommodation/,https://studyinkku.wordpress.com/wp-content/uploads/2018/04/10403507_766233156746293_4092225240502478725_n.jpg?w=300,Room interior
nopparat_9_buildings/09_nopparat_gate_studyinkku.webp,Nopparat Dormitory (9 buildings),Study in KKU blog,https://studyinkku.wordpress.com/2018/04/28/accommodation/,https://studyinkku.wordpress.com/wp-content/uploads/2018/04/10846113_766227586746850_7007936617575458141_n.jpg?w=300,Gate / road
wora_residence_8_buildings/01_wora_residence_entrance_road_assetkku.jpg,Wora Residence / Student Welfare Dormitory (8 buildings),Official Asset KKU,https://asset.kku.ac.th/page/kku-dorm/,https://asset.kku.ac.th/wp-content/uploads/2022/05/2022-05-19_04-19-07_584459.jpg,Entrance road
wora_residence_8_buildings/02_wora_residence_building_front_assetkku.jpg,Wora Residence / Student Welfare Dormitory (8 buildings),Official Asset KKU,https://asset.kku.ac.th/page/kku-dorm/,https://asset.kku.ac.th/wp-content/uploads/2022/05/2022-05-19_02-39-06_854427.jpg,Building front
wora_residence_8_buildings/03_wora_residence_gate_road_assetkku.jpg,Wora Residence / Student Welfare Dormitory (8 buildings),Official Asset KKU,https://asset.kku.ac.th/page/kku-dorm/,https://asset.kku.ac.th/wp-content/uploads/2022/05/2022-05-19_02-37-55_244387.jpg,Gate road
